MAME Name,EN Name,CN Name
sf2ceua,Street Fighter II': Champion Edition (USA 920313),街头霸王 II - 四大天王（街霸2' 920313 美版）
sf2ceub,Street Fighter II': Champion Edition (USA 920513),街头霸王 II - 四大天王（街霸2' 920513 美版）
sf2ceuc,Street Fighter II': Champion Edition (USA 920803),街头霸王 II - 四大天王（街霸2' 920803 美版）
sf2dkot2,"Street Fighter II': Champion Edition (Double K.O. Turbo II, bootleg)","街头霸王 II - 四大天王（加倍 K.O. 加速 II 盗版, 902140 美版）"
sf2dongb,"Street Fighter II': Champion Edition (Dongfang Bubai protection, bootleg)","街头霸王 II - 四大天王（东方不败保护版 盗版, 世界版 920313）"
sf2eb,Street Fighter II: The World Warrior (World 910214),街头霸王 II - 天下斗士（910214 世界版）
sf2ebbl,"Street Fighter II: The World Warrior (TAB Austria, bootleg, set 1)","街头霸王 II - 天下斗士（TAB 奥地利盗版, 910214 世界版）"
sf2ebbl2,"Street Fighter II: The World Warrior (TAB Austria, bootleg, set 3)","街头霸王 II - 天下斗士（TAB 奥地利盗版 第2套, 910214 世界版）"
sf2ebbl3,"Street Fighter II: The World Warrior (TAB Austria, bootleg, set 4)","街头霸王 II - 天下斗士（TAB 奥地利盗版 第3套, 910214 世界版）"
sf2ed,Street Fighter II: The World Warrior (World 910318),街头霸王 II - 天下斗士（910318 世界版）
sf2ee,Street Fighter II: The World Warrior (World 910228),街头霸王 II - 天下斗士（910228 世界版）
sf2hf,Street Fighter II': Hyper Fighting (World 921209),街头霸王 II - 战斗宣言（街霸2' T 921209 世界版）
sf2hfj,Street Fighter II' Turbo: Hyper Fighting (Japan 921209),街头霸王 II 加速版 - 战斗宣言（街霸2' T 921209 日版）
sf2hfu,Street Fighter II': Hyper Fighting (USA 921209),街头霸王 II - 战斗宣言（街霸2' T 921209 美版）
sf2j,Street Fighter II: The World Warrior (Japan 911210),"街头霸王 II - 天下斗士（911210 日版, CPS-B-13）"
sf2ja,Street Fighter II: The World Warrior (Japan 910214),街头霸王 II - 天下斗士（910214 日版）
sf2jc,Street Fighter II: The World Warrior (Japan 910306),街头霸王 II - 天下斗士（910306 日版）
sf2jf,Street Fighter II: The World Warrior (Japan 910411),街头霸王 II - 天下斗士（910411 日版）
sf2jh,Street Fighter II: The World Warrior (Japan 910522),街头霸王 II - 天下斗士（910522 日版）
sf2jl,Street Fighter II: The World Warrior (Japan 920312),街头霸王 II - 天下斗士（920312 日版）
sf2koryu,"Street Fighter II': Champion Edition (Xiang Long, Chinese bootleg)","街头霸王 II - 降龙（盗版 第1套, 811102 001）"
sf2m10,"Street Fighter II': Champion Edition (M10, bootleg)","街头霸王 2 - 四大天王（M10, 盗版）"
sf2m2,"Street Fighter II': Champion Edition (M2, bootleg)","街头霸王 2 - 四大天王（M2, 盗版）"
sf2m3,"Street Fighter II': Champion Edition (M3, bootleg)","街头霸王 2 - 四大天王（M3, 盗版）"
sf2m4,"Street Fighter II': Champion Edition (M4, bootleg)","街头霸王 2 - 四大天王（M4, 盗版）"
sf2m5,"Street Fighter II': Champion Edition (M5, bootleg)","街头霸王 2 - 四大天王（M5, 盗版）"
sf2m6,"Street Fighter II': Champion Edition (M6, bootleg)","街头霸王 2 - 四大天王（M6, 盗版）"
sf2m7,"Street Fighter II': Champion Edition (M7, bootleg)","街头霸王 2 - 四大天王（M7, 盗版）"
sf2m8,"Street Fighter II': Champion Edition (M8, bootleg)","街头霸王 2 - 四大天王（M8, 盗版）"
sf2qp1,"Street Fighter II: The World Warrior (Quicken Pt-I, bootleg)","街头霸王 II - 天下斗士（加速 Pt-I 盗版, 910214 美版）"
sf2rb,"Street Fighter II': Champion Edition (Rainbow, bootleg, set 1)","街头霸王 II - 四大天王（彩虹版 盗版 第1套, 920322 世界版）"
sf2rb2,"Street Fighter II': Champion Edition (Rainbow, bootleg, set 2)","街头霸王 II - 四大天王（彩虹版 盗版 第2套, 920322 世界版）"
sf2rb3,"Street Fighter II': Champion Edition (Rainbow, bootleg, set 3)","街头霸王 II - 四大天王（彩虹版 盗版 第3套, 920322 世界版）"
sf2red,"Street Fighter II': Champion Edition (Red Wave, bootleg)","街头霸王 II - 四大天王（赤色波动 盗版 第1套, 920313 世界版）"
sf2rk,"Street Fighter II: The World Warrior (RK, bootleg)","街头霸王 2 - 天下斗士（RK, 盗版）"
sf2stt,"Street Fighter II: The World Warrior (TAB Austria, bootleg, set 2)","街头霸王 II - 天下斗士（STT, TAB 奥地利盗版, 910214 世界版）"
sf2thndr,"Street Fighter II: The World Warrior (Thunder Edition, bootleg)","街头霸王 II - 天下斗士（雷霆版 盗版, 910214 世界版, 第1套）"
sf2ua,Street Fighter II: The World Warrior (USA 910206),街头霸王 II - 天下斗士（910206 美版）
sf2ub,Street Fighter II: The World Warrior (USA 910214),街头霸王 II - 天下斗士（910214 美版）
sf2uc,Street Fighter II: The World Warrior (USA 910306),街头霸王 II - 天下斗士（910306 美版）
sf2ud,Street Fighter II: The World Warrior (USA 910318),街头霸王 II - 天下斗士（910318 美版）
sf2ue,Street Fighter II: The World Warrior (USA 910228),街头霸王 II - 天下斗士（910228 美版）
sf2uf,Street Fighter II: The World Warrior (USA 910411),街头霸王 II - 天下斗士（910411 美版）
sf2ug,"Street Fighter II: The World Warrior (USA 910522, Rev. G)","街头霸王 II - 天下斗士（910522 美版, 修正版 G）"
sf2ui,"Street Fighter II: The World Warrior (USA 910522, Rev. I)","街头霸王 II - 天下斗士（910522 美版, 修正版 I）"
sf2uk,Street Fighter II: The World Warrior (USA 911101),街头霸王 II - 天下斗士（911101 美版）
sf2v004,"Street Fighter II': Champion Edition (V004, bootleg)","街头霸王 II - 四大天王（V004 盗版 第1套, 102092 美版）"
sf2yyc,"Street Fighter II': Champion Edition (YYC, bootleg)","街头霸王 II - 四大天王（YYC 盗版 第1套, 920313 世界版）"
slammast,Saturday Night Slam Masters (World 930713),摔角霸王（摔角霸王 930713 世界版）
slammastu,Saturday Night Slam Masters (USA 930713),摔角霸王（摔角霸王 930713 美版）
strider,"Strider (USA, B-Board 89624B-2)",出击飞龙（美版 第1套）
striderj,Strider Hiryu (Japan),出击飞龙（日版）
striderjr,Strider Hiryu (Japan Resale Ver.),出击飞龙（日版 重发售版）
striderua,"Strider (USA, B-Board 89624B-3)",出击飞龙（美版 第2套）
strideruc,"Strider (USA, B-Board 90629B-3, buggy Street Fighter II conversion)","出击飞龙（美版, 街霸II转换版）"
unsquad,U.N. Squadron (USA),维和部队（美版）
varth,Varth: Operation Thunderstorm (World 920714),威虎战机 - 雷暴行动（920714 世界版）
varthj,Varth: Operation Thunderstorm (Japan 920714),威虎战机 - 雷暴行动（920714 日版）
varthjr,Varth: Operation Thunderstorm (Japan Resale Ver. 920714),威虎战机 - 雷暴行动（920714 日版 重发售版）
varthr1,Varth: Operation Thunderstorm (World 920612),威虎战机 - 雷暴行动（920612 世界版）
varthu,Varth: Operation Thunderstorm (USA 920612),威虎战机 - 雷暴行动（920612 美版）
willow,Willow (World),威洛之旅（美版）
willowj,Willow (Japan),"威洛之旅（日版, 日文）"
willowu,Willow (USA),威洛之旅（美版）
willowuo,Willow (USA Old Ver.),威洛之旅（美版 旧版）
wof,Warriors of Fate (World 921031),三国志 II（921031 世界版）
wofa,Sangokushi II (Asia 921005),三国志 II（921005 亚洲版）
wofhfh,Huo Feng Huang (Chinese bootleg of Sangokushi II),"三国志 II - 火凤凰（中国盗版, 921005 亚洲版）"
wofj,Tenchi wo Kurau II: Sekiheki no Tatakai (Japan 921031),吞食天地 II - 赤壁之战（921031 日版）
wofr1,Warriors of Fate (World 921002),三国志 II（921002 世界版）
wofu,Warriors of Fate (USA 921031),三国志 II（921031 美版）
wonder3,Wonder 3 (Japan 910520),三个奇迹（910520 日版）
