MAME Name,EN Name,CN Name
mslug5h,Metal Slug 5 (NGH-2680),合金弹头 5（NGH-2680）
mslugx,Metal Slug X - Super Vehicle-001 (NGM-2500 ~ NGH-2500),合金弹头 X - 超级坦克-001（NGM-2500）（NGH-2500）
mutnat,Mutation Nation (NGM-014 ~ NGH-014),外星游龙 - 变异种族（NGM-014）（NGH-014）
nam1975,NAM-1975 (NGM-001 ~ NGH-001),越战 1975（NGM-001）（NGH-001）
ncombat,Ninja Combat (NGM-009),忍者大战（NGM-009）
ncombath,Ninja Combat (NGH-009),忍者大战（NGH-009）
ncommand,Ninja Commando,忍者指令
neobombe,Neo Bomberman,Neo 炸弹人
neocup98,Neo-Geo Cup '98 - The Road to the Victory,Neo-Geo 杯98 - 胜利之路
neodrift,Neo Drift Out - New Technology,Neo 越野漂移 - 新的技术
neomrdo,Neo Mr. Do!,Neo 小丑先生
ninjamas,Ninja Master's - Haoh-ninpo-cho,霸王忍法帖
nitd,Nightmare in the Dark,午夜噩梦
nitdbl,Nightmare in the Dark (bootleg),午夜噩梦（盗版）
overtop,Over Top,跨越巅峰
panicbom,Panic Bomber,炸弹人方块
pbobbl2n,Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo),泡泡龙 2 / 再次爆裂移动（Neo-Geo）
pbobblen,"Puzzle Bobble / Bust-A-Move (Neo-Geo, NGM-083)",泡泡龙 / 爆裂移动（Neo-Geo）（NGM-083）
pbobblenb,"Puzzle Bobble / Bust-A-Move (Neo-Geo, bootleg)",泡泡龙 / 爆裂移动（Neo-Geo）（盗版）
pgoal,Pleasure Goal / Futsal - 5 on 5 Mini Soccer (NGM-219),快乐射门 / 五人足球（NGM-219）
pnyaa,Pochi and Nyaa,宠物方块（版本 2.00）
popbounc,Pop 'n Bounce / Gapporin,暴击跳跳球
preisle2,Prehistoric Isle 2,原始岛 2
pspikes2,Power Spikes II (NGM-068),力量排球 II（NGM-068）
pulstar,Pulstar,惑星战机
puzzldpr,Puzzle De Pon! R!,益智气泡 R
puzzledp,Puzzle De Pon!,益智气泡
quizdai2,Quiz Meitantei Neo & Geo - Quiz Daisousa Sen part 2 (NGM-042 ~ NGH-042),迷探侦 Neo & Geo - 问答大搜查线 2（NGM-042）（NGH-042）
quizdais,Quiz Daisousa Sen - The Last Count Down (NGM-023 ~ NGH-023),问答大搜查线 - 最后倒计时（NGM-023）（NGH-023）
quizdaisk,Quiz Daisousa Sen - The Last Count Down (Korean release),问答大搜查线 - 最后倒计时（韩版）
quizkof,Quiz King of Fighters (SAM-080 ~ SAH-080),拳皇问答（SAM-080）（SAH-080）
quizkofk,Quiz King of Fighters (Korean release),拳皇问答（韩版）
ragnagrd,Ragnagard / Shin-Oh-Ken,神凰拳
rbff1,Real Bout Fatal Fury / Real Bout Garou Densetsu (NGM-095 ~ NGH-095),真饿狼传说（NGM-095）（NGH-095）
rbff1a,Real Bout Fatal Fury / Real Bout Garou Densetsu (bug fix revision),真饿狼传说（修复版）
rbff2,Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - The Newcomers (NGM-2400),真饿狼传说 2 - 新的来者（NGM-2400）
rbff2h,Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - The Newcomers (NGH-2400),真饿狼传说 2 - 新的来者（NGH-2400）
rbff2k,Real Bout Fatal Fury 2 - The Newcomers (Korean release),真饿狼传说 2 - 新的来者（韩版）
rbffspec,Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special,真饿狼传说特别版
rbffspeck,Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special (Korean release),真饿狼传说特别版（韩版）
ridhero,Riding Hero (NGM-006 ~ NGH-006),铁骑英雄（NGM-006）（NGH-006）
ridheroh,Riding Hero (set 2),铁骑英雄（第2套）
roboarmy,Robo Army,机甲神兵（第1套）
rotd,Rage of the Dragons (NGM-2640?),龙吼（NGM-2640）
rotdh,Rage of the Dragons (NGH-2640?),龙吼（NGH-2640）
s1945p,Strikers 1945 Plus,打击者 1945 加强版
samsh5sp,Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720),侍魂 V 特别版 / 侍魂 零 特别版（NGM-2720）
samsh5sph,"Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720, 2nd release, less censored)","侍魂 V 特别版 / 侍魂 零 特别版（NGH-2720）（第二版, 少量删减版）"
samsh5spho,"Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720, 1st release, censored)","侍魂 V 特别版 / 侍魂 零 特别版（NGH-2720）（第一版, 删减版）"
samsho,Samurai Shodown / Samurai Spirits (NGM-045),侍魂 I - 十二剑手（NGM-045）
samsho2,Samurai Shodown II / Shin Samurai Spirits - Haohmaru Jigokuhen (NGM-063 ~ NGH-063),侍魂 II / 真侍魂 - 霸王丸地狱变（NGM-063）（NGH-063）
samsho2k,Saulabi Spirits / Jin Saulabi Tu Hon (Korean release of Samurai Shodown II),真侍魂（侍魂 II 韩版）
samsho3,Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGM-087),侍魂 III - 斩红郎无双剑（NGM-087）
samsho3h,Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGH-087),侍魂 III - 斩红郎无双剑（NGH-087）
samsho4,Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin (NGM-222 ~ NGH-222),侍魂 IV - 天草降临（NGM-222）（NGH-222）
samsho4k,Pae Wang Jeon Seol / Legend of a Warrior (Korean censored Samurai Shodown IV),霸王传说（韩国删减版 侍魂 IV）
samsho5,Samurai Shodown V / Samurai Spirits Zero (NGM-2700),"侍魂 V / 侍魂 零（NGM-2700, 第1套）"
samsho5b,Samurai Shodown V / Samurai Spirits Zero (bootleg),侍魂 V / 侍魂 零（盗版）
samsho5h,Samurai Shodown V / Samurai Spirits Zero (NGH-2700),侍魂 V / 侍魂 零（NGH-2700）
samshoh,Samurai Shodown / Samurai Spirits (NGH-045),侍魂 I - 十二剑手（NGH-045）
savagere,Savage Reign / Fu'un Mokushiroku - Kakutou Sousei,风云默示录 - 格斗创世
sbp,Super Bubble Pop,超级泡泡消除
sdodgeb,Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu,超级躲避球 / 国夫君热血斗球传说
sengoku,Sengoku / Sengoku Denshou (NGM-017 ~ NGH-017),战国 / 战国传承（NGM-017）（NGH-017）
sengoku2,Sengoku 2 / Sengoku Denshou 2,战国 2 / 战国传承 2
sengoku3,Sengoku 3 / Sengoku Densho 2001,战国 3 / 战国传承 2001
sengokuh,"Sengoku / Sengoku Denshou (NGH-017, US)",战国 / 战国传承（NGH-017）（美版）
shocktr2,Shock Troopers - 2nd Squad,突击骑兵 - 第二分队
shocktro,Shock Troopers (set 1),突击骑兵（第1套）
shocktroa,Shock Troopers (set 2),突击骑兵（第2套）
socbrawl,Soccer Brawl (NGM-031),机器人足球（NGM-031）
socbrawlh,Soccer Brawl (NGH-031),机器人足球（NGH-031）
sonicwi2,Aero Fighters 2 / Sonic Wings 2,四国战机 2 / 音速战机 2
sonicwi3,Aero Fighters 3 / Sonic Wings 3,四国战机 3 / 音速战机 3
spinmast,Spin Master / Miracle Adventure,回旋球大师 / 强尼大冒险
ssideki,Super Sidekicks / Tokuten Ou,超级伙伴 / 得点王
ssideki2,Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - Real Fight Football (NGM-061 ~ NGH-061),超级伙伴 2 - 世界锦标赛 / 得点王 2 - 真实对抗足球（NGM-061）（NGH-061）
ssideki3,Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - Eikou e no Michi,超级伙伴 3 - 荣耀之战 / 得点王 3 - 荣耀之挑战
ssideki4,The Ultimate 11 - The SNK Football Championship / Tokuten Ou - Honoo no Libero,终极十一人 - SNK 足球锦标赛 / 得点王 - 炎之自由人
stakwin,Stakes Winner / Stakes Winner - GI Kinzen  Seiha e no Michi,赛马冠军 - GI 完全制霸之道
stakwin2,Stakes Winner 2,赛马冠军 2
strhoop,Street Hoop / Street Slam / Dunk Dream (DEM-004 ~ DEH-004),街头篮球（DEM-004）（DEH-004）
superspy,The Super Spy (NGM-011 ~ NGH-011),谍报飞龙（NGM-011）（NGH-011）
svc,SNK vs. Capcom - SVC Chaos (NGM-2690 ~ NGH-2690),拳皇对街霸 - 混沌（NGM-2690）（NGH-2690）
svcboot,SNK vs. Capcom - SVC Chaos (bootleg),拳皇对街霸 - 混沌（盗版）
svcplus,SNK vs. Capcom - SVC Chaos Plus (bootleg set 1),拳皇对街霸 - 混沌加强版（盗版 第1套）
svcplusa,SNK vs. Capcom - SVC Chaos Plus (bootleg set 2),拳皇对街霸 - 混沌加强版（盗版 第2套）
svcsplus,SNK vs. Capcom - SVC Chaos Super Plus (bootleg),拳皇对街霸 - 混沌超级加强版（盗版）
tophuntr,Top Hunter - Roddy & Cathy (NGM-046),顶尖猎人 - 罗迪和凯茜（NGM-046）
tophuntrh,Top Hunter - Roddy & Cathy (NGH-046),顶尖猎人 - 罗迪和凯茜（NGH-046）
