Name EN,Name CN
Con-Dori (Japan) (Alt 2),空多利
Con-Dori (Japan) (Alt),空多利
Confused (Europe),困惑的拼图
Cosmo (Japan) (Alt),宇宙船长
Cosmo (Japan),宇宙船长
Cosmo-Explorer (Japan) (Alt),宇宙探险号
Cosmo-Explorer (Japan),宇宙探险号
Courageous Perseus (Japan),勇者珀尔修斯
Courageous Perseus (Japan) (Alt),勇者珀尔修斯
Craze (Japan),狂热战机
Crazy Bullet (Japan),疯狂子弹
Crazy Bullet (Japan) (Alt),疯狂子弹
Crazy Cars (Europe),疯狂汽车
Crazy Train (Japan),疯狂列车
Crazy Train (Japan) (Alt),疯狂列车
Cross Blaim (Japan),激光战士
Crusader (Japan) (Alt 2),十字军战士
Crusader (Japan),十字军战士
Crusader (Japan) (Alt),十字军战士
D-Day (Japan) (Alt),攻击日
D-Day (Japan) (Alt 2),攻击日
D-Day (Japan) (Alt 3),攻击日
D-Day (Japan),攻击日
Daidasso (Japan),大脱走
Daiva Story 4 - Asura's Bloodfeud (Japan),超人迪瓦 4 - 阿修罗的血仇
"Dam Busters, The (Japan)",轰炸鲁尔水霸记
"Dam Busters, The (Japan) (Alt)",轰炸鲁尔水霸记
Danger X4 (Japan) (Alt),威胁 X4
Danger X4 (Japan) (Alt 2),威胁 X4
Danger X4 (Japan),威胁 X4
David II (Japan),大卫 2
Dawn Patrol (Japan),黎明侦察
Decathlon (Japan) (Alt),十项运动
Decathlon (Japan),十项运动
Deep Dungeon (Japan),深入地牢
Deep Dungeon II (Japan),深入地牢 2 - 勇士之纹章
"Demon Crystal, The (Japan)",恶魔水晶
Demonia I (Europe),恶魔之掷
"Designer's Pencil, The (Europe) (Program)",设计师之笔
Devil's Heaven (Japan),恶魔天堂
Dig Dug (Japan) (Alt),打空气
Dig Dug (Japan),打空气
Digital Devil Monogatari Megami Tensei (Japan),女神转生
Digital Devil Monogatari Megami Tensei (Japan) (Alt),女神转生
Dip Dip (Spain),
Doki Doki Penguin Land (Japan) (Alt),多奇多奇企鹅大陆
Doki Doki Penguin Land (Japan),多奇多奇企鹅大陆
Doordoor (Japan),门门 MK2
Dorodon (Japan),豆豆迷宫
Double Dragon (Korea) (Unl),双截龙
Dr. Copy (Japan),拷贝先生
Dragon Attack (Japan),龙袭
Dragon Attack (Japan) (Alt),龙袭
Dragon Quest (Japan),勇者斗恶龙
Dragon Quest II (Japan),勇者斗恶龙 2
Dragon Quest II (Japan) (Alt),勇者斗恶龙 2
Dragon Slayer (Japan),屠龙战士
Dragon Slayer II - Xanadu (Japan),沙纳多
Dragon Slayer IV - Drasle Family (Japan),屠龙战士 4
Dragon Slayer Jr. - Romancia (Japan),爱的罗曼史
Drainer (Japan),丹那战机
Druaga no Tou (Japan),多鲁亚加塔
Dungeon Hunter (Japan),地下猎人
Dungeon Master (Japan),地下城主
Dunk Shot (Japan),强力灌篮
Dunk Shot (Japan) (Alt),强力灌篮
DX7 Voicing Program (Japan) (Program),DX7声卡程序
Dynamite Bowl (Japan),爆烈保龄球
Eagle Fighter (Japan),雄鹰战斗机
Eagle Fighter (Japan) (Alt),雄鹰战斗机
Eddy 2 (Japan) (Program) (Alt),埃迪画板 2
Eddy 2 (Japan) (Program),埃迪画板 2
Eggerland Mystery (Japan),罗罗大冒险
Eiwa Jiten - English Japanese (Japan) (Program),MSX英和词典
Elevator Action (Japan),电梯大战
Erika (Japan),艾丽卡
Exa Innova (Japan),EI战机
Exa Innova (Japan) (Alt),EI战机
