EN Name,CN Name
Return of Jelda (Japan),杰尔达回归 (日版)
Rick to Mick no Daibouken (Japan),瑞奇与麦克的大冒险 (日版)
Royal Blood (Japan),皇室血裔 (日版)
Sangokushi (Japan),三国志 (日版)
Sangokushi II (Japan),三国志2 (日版)
Scramble Formation (Japan),轰炸东京 (日版)
Seikima II Special - Akuma no Gyakushuu (Japan),圣饥魔2-恶魔之逆袭 (日版)
Seikima II Special - Akuma no Gyakushuu (Japan) (Alt 1),圣饥魔2-恶魔之逆袭 (日版) (Alt 1)
Shanghai (Japan),上海 (日版)
Shiryou Sensen - War of the Dead (Japan),死灵战线 (日版)
Space Manbow (Japan),太空曼波 (日版)
Star Virgin (Japan),星际女战士 (日版)
Star Virgin (Japan) (Alt 1),星际女战士 (日版) (Alt 1)
Strategic Mars (Japan),火星战略 (日版)
Suikoden - Tenmei no Chikai (Japan),水浒传-天命之誓 (日版)
Super Daisenryaku (Japan),超级大战略 (日版)
Super Load Runner (Japan),超级淘金者 (日版)
Super Rambo Special (Japan),超级兰博-特别版 (日版)
Super Runner (Japan),超级赛跑 (日版)
Super Tritorn (Japan),超级奇顿 (日版)
Synthe Saurus (Japan) (Program),音乐合成器 (日版) (Program)
Taiyou no Shinden - Asteka II (Japan),太阳神殿 (日版)
Tanikawa Hiroshi no Shougi Shinan 2 (Japan),将棋指南2 (日版)
Teitoku no Ketsudan (Japan),提督之决断 (日版)
Tengoku Yoitoko (Japan),天国物语 (日版)
Tetris (Japan),俄罗斯方块 (日版)
Topple Zip (Japan),飞天大战 (日版)
"Treasure of Usas, The (Japan, Europe)","友萨斯 (日版, 欧版)"
"Treasure of Usas, The (Japan, Europe) (Alt 1)","友萨斯 (日版, 欧版) (Alt 1)"
Tsurikichi Sanpei - Blue Marine Hen (Japan),钓鱼迷三平-布鲁玛琳编 (日版)
Tsurikichi Sanpei - Tsuri Sennin Hen (Japan),钓鱼迷三平-钓鱼仙人编 (日版)
Ultima Exodus (Japan),创世纪 (日版)
Urusei Yatsura - Koi no Survival Birthday (Japan),福星小子 (日版)
"Vampire Killer (Japan, Europe)","恶魔城 (日版, 欧版)"
"Vampire Killer (Japan, Europe) (Alt 1)","恶魔城 (日版, 欧版) (Alt 1)"
"Vampire Killer (Japan, Europe) (Alt 2)","恶魔城 (日版, 欧版) (Alt 2)"
"Vampire Killer (Japan, Europe) (Alt 3)","恶魔城 (日版, 欧版) (Alt 3)"
Victorious Nine II - Koukou Yakyuu Hen (Japan),胜利九人棒球2-高校野球编 (日版)
Wizardry (Japan),辟邪除妖 (日版)
Woody Poco (Japan),乌迪帕克 (日版)
Woody Poco (Japan) (Alt 1),乌迪帕克 (日版) (Alt 1)
Xevious - Fardraut Saga (Japan),铁板阵-法佐特传说 (日版)
Xevious - Fardraut Saga (Japan) (Alt 1),铁板阵-法佐特传说 (日版) (Alt 1)
Yaksa (Japan),夜叉 (日版)
Yamamura Misa Suspense - Kyoto Ryuu no Tera Satsujinjiken (Japan),山村美纱侦探-京都龙之寺杀人事件 (日版)
Yuurei-kun (Japan),幽灵君 (日版)
Zanac Ex (Japan),银河战机EX (日版)
Zanac Ex (Japan) (Alt 1),银河战机EX (日版) (Alt 1)
Zoids - Chuuou Tairiku no Tatakai (Japan),中央大陆战记 (日版)
Zombie Hunter (Japan),蛇神猎手 (日版)
Zukkoke Yajikita Onmitsu Douchuu (Japan),胡闹野次来了-隐密道中 (日版)
Zukkoke Yajikita Onmitsu Douchuu (Japan) (Alt 1),胡闹野次来了-隐密道中 (日版) (Alt 1)
