Name EN,Name ZH
Diddy Kong Racing (Japan),迪迪刚赛车(日版)
"Diddy Kong Racing (USA) (En,Fr)","迪迪刚赛车(美版)(英,法)"
"Diddy Kong Racing (USA) (En,Fr) (Rev 1)","迪迪刚赛车(美版)(英,法)(版本1)"
"Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It)","唐老鸭大冒险-嘎嘎攻击(美版)(英,法,德,西,意)"
"Donald Duck - Quack Attack (Europe) (En,Fr,De,Es,It)","唐老鸭大冒险-嘎嘎攻击(欧版)(英,法,德,西,意)"
"Donkey Kong 64 (Europe) (En,Fr,De,Es)","大金刚64(欧版)(英,法,德,西)"
Donkey Kong 64 (Japan),大金刚64(日版)
Donkey Kong 64 (USA),大金刚64(美版)
Doom 64 (Europe),毁灭战士64(欧版)
Doom 64 (Japan),毁灭战士64(日版)
Doom 64 (USA),毁灭战士64(美版)
Doom 64 (USA) (Rev 1),毁灭战士64(美版)(版本1)
Doraemon - Nobita to 3tsu no Seireiseki (Japan),哆啦A梦-三颗精灵石(日版)
Doraemon 2 - Nobita to Hikari no Shinden (Japan),哆啦A梦2-光之神殿(日版)
Doraemon 3 - Nobita no Machi SOS! (Japan),哆啦A梦3-野比太町大营救(日版)
Doubutsu no Mori (Japan),动物之森(日版)
Dr. Mario 64 (USA),马里奥医生64(美版)
Dual Heroes (Europe),英雄战队(欧版)
Dual Heroes (Japan),英雄战队(日版)
Dual Heroes (USA),英雄战队(美版)
"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)","道奇鸭火星历险记(美版)(英,法,西)"
Duke Nukem - Zero Hour (Europe),毁灭公爵-关键时刻(欧版)
Duke Nukem - Zero Hour (France),毁灭公爵-关键时刻(法国)
Duke Nukem - Zero Hour (USA),毁灭公爵-关键时刻(美版)
Duke Nukem 64 (Europe),毁灭公爵64(欧版)
Duke Nukem 64 (France),毁灭公爵64(法国)
Duke Nukem 64 (USA),毁灭公爵64(美版)
