Name EN,Name CN
"Captain Toad - Treasure Tracker (Europe) (En,Fr,De,Es,It)",蘑菇队长 奇诺比奥 - 宝藏追踪者
"Sonic Boom - Rise of Lyric (Europe) (En,Fr,De,Es,It)",索尼克爆破 - 崛起之诗
"Guitar Hero Live (USA) (En,Fr,Es)",吉他英雄 Live
"Minecraft - Wii U Edition (USA) (En,Ja,Fr,De,Es,It,Nl,Pt,Zh,Ko,Ru) (Rev 1)",我的世界
"Sonic Boom - Rise of Lyric (USA) (En,Fr,Es)",索尼克爆破 - 崛起之诗
"SteamWorld Collection (USA) (En,Ja,Fr,De,Es,It,Ru)",蒸汽世界 合集
"Resident Evil - Revelations (USA) (En,Ja,Fr,De,Es,It,Nl,Pt,Pl,Ru) (Rev 1)",生化危机 - 启示录
"Mario & Sonic at the Rio 2016 Olympic Games (USA) (En,Fr,Es)",马里奥与索尼克在里约奥运会
"Call of Duty - Black Ops II (USA) (En,Fr)",使命召唤 - 黑色行动 2
"DreamWorks Penguins of Madagascar (USA) (En,Fr,Es,Pt)",马达加斯加的企鹅
"Disney Infinity 3.0 Edition (USA) (En,Fr,Es) (Rev 2)",迪士尼无限 3.0
"Rabbids Land (USA) (En,Fr,Es,Pt)",疯狂兔子乐园
"Sonic & All-Stars Racing Transformed (USA) (En,Fr,Es)",全明星赛
"Transformers - Rise of the Dark Spark (USA) (En,Fr)",变形金刚 - 暗焰崛起
"Need for Speed - Most Wanted U - A Criterion Game (Europe) (En,Fr,De,Es,It)",极品飞车 17 - 最高通缉 U
"Angry Birds Star Wars (Europe) (En,Fr,De,Es,It)",愤怒的小鸟
"Tekken Tag Tournament 2 - Wii U Edition (Europe) (En,Fr,De,Es,It) (Rev 1)",铁拳 TT2 WiiU
"Adventure Time - Explore the Dungeon Because I Don't Know! (USA) (En,Fr,Es)",探险活宝 - 因为好奇所以探索地牢
"Amazing Spider-Man, The - Ultimate Edition (USA) (En,Fr,Es)",超凡蜘蛛侠 终极版
"Amazing Spider-Man 2, The (USA) (En,Fr)",超凡蜘蛛侠 2
"Angry Birds Star Wars (USA) (En,Fr,Es,Pt)",愤怒的小鸟
"Barbie & Her Sisters - Puppy Rescue (USA) (En,Fr,Es,Pt)",芭比姐妹 - 狗狗救援队
Brunswick Pro Bowling (USA),布伦瑞克职业保龄球
"Devil's Third (USA) (En,Fr)",恶魔三人组
"Disney DuckTales - Remastered (USA) (En,Fr,Es,Pt)",迪士尼 鸭子故事 - 重编
"Disney Planes - Fire & Rescue (USA) (En,Fr,Es,Pt)",迪士尼 飞机总动员 - 火线救援
"DreamWorks Kung Fu Panda - Showdown of Legendary Legends (USA) (En,Fr,Es,Pt)",功夫熊猫 - 传奇对决
"DreamWorks Rise of the Guardians (USA) (En,Fr,Es)",守护者联盟
"ESPN Sports Connection (USA) (En,Fr,Es,Pt)",ESPN体育连线
"Just Dance - Disney Party 2 (USA) (En,Fr,De,Es,It,Pt)",舞力全开 - 迪士尼派对 2
Madden NFL 13 (USA),麦登橄榄球 13
"Mighty No. 9 (USA) (En,Ja,Fr,De,Es,It,Pt,Ru)",无敌9号
"Minecraft - Story Mode - A Telltale Games Series - The Complete Adventure (USA) (En,Fr,Es,Pt)",我的世界 - 故事模式
"Monster High - New Ghoul in School (USA) (En,Fr,Es,Pt)",精灵高中 - 学校里的新食尸鬼
NBA 2K13 (USA),NBA篮球 2K13
"Nickelodeon SpongeBob SquarePants - Plankton's Robotic Revenge (USA) (En,Fr)",海绵宝宝 - 痞老板机器人复仇
"Just Dance 2016 (Europe) (En,Fr,De,Es,It,Nl)",舞力全开 2016
"Just Dance 4 (Europe) (En,Fr,De,Es,It,Nl)",舞力全开 4
"Mighty No. 9 (Europe) (En,Ja,Fr,De,Es,It,Pt,Ru)",无敌9号
"Skylanders - Giants (USA) (En,Fr,Es,Pt)",小龙斯派罗 - 巨人
"Smurfs 2, The (USA) (En,Fr,Es)",蓝精灵 2
"Sniper Elite V2 (USA) (En,Fr,Es)",狙击精英 V2
"Terraria (USA) (En,Fr,Es)",泰拉瑞亚
"Tom Clancy's Splinter Cell - Blacklist (USA) (En,Fr,Es,Pt)",细胞分裂 - 黑名单
"Walking Dead, The - Survival Instinct (USA)",行尸走肉 - 生存本能
Wheel of Fortune (USA),轮盘赌
ABC Wipeout - Create & Crash (USA),勇敢向前冲 4
ABC Wipeout 3 (USA),勇敢向前冲 3
Zumba Fitness - World Party (USA),祖巴健身世界党
"SteamWorld Collection (Europe) (En,Ja,Fr,De,Es,It,Ru)",蒸汽世界 合集
"Funky Barn (USA) (En,Fr,Es) (Rev 1)",快乐动物牧场
"Star Fox Zero (Europe) (En,Fr,De,Es,It)",星际火狐 - 零
"Mario & Sonic at the Sochi 2014 Olympic Winter Games (Europe) (En,Fr,De,Es,It,Nl,Ru)",马里奥与索尼克在冬季奥运会
"Kirby and the Rainbow Paintbrush (Europe) (En,Fr,De,Es,It)",卡比与彩虹诅咒
"Legend of Zelda, The - Twilight Princess HD (Europe, Australia) (En,Fr,De,Es,It) (Rev 2)",塞尔达传说 - 暮光公主
"Assassin's Creed IV - Black Flag (Europe) (En,Fr,De,Es,It,Nl,Ru)",刺客信条 4 - 黑旗
"Fit Music for Wii U (Europe) (En,Fr,De,Es,It)",Fit健身音乐 WiiU
"Just Dance - Disney Party 2 (Europe) (En,Fr,De,Es,It)",舞力全开 - 迪士尼派对 2
"Barbie & Her Sisters - Puppy Rescue (Europe) (En,Fr,De,Es,It)",芭比姐妹 - 狗狗救援队
"Hyrule Warriors (Europe) (En,Fr,De,Es,It) (Rev 1)",塞尔达无双
"Ben 10 - Omniverse 2 (Europe) (En,Fr,De,Es,It)",少年骇客 - 全面进化 2
"Art Academy - Atelier (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",绘心教室 - 画室
"Adventure Time - Finn & Jake Investigations (USA) (En,Fr,Es,Pt)",探险活宝 - 阿宝与老皮的史诗冒险
"Hot Wheels - World's Best Driver (Europe) (En,Fr,De,Es,It,Nl)",风火轮赛车 - 冠军车手
"Angry Birds Trilogy (Europe) (En,Fr,De,Es,It)",愤怒的小鸟 三部曲
"Ben 10 - Omniverse (USA) (En,Fr,Es)",少年骇客 - 全面进化
"Disney Planes (USA) (En,Fr,Es,Pt)",迪士尼 飞机总动员
"Hot Wheels - World's Best Driver (USA) (En,Fr,Es,Pt)",风火轮赛车 - 冠军车手
"Legend of Kay - Anniversary (USA) (En,Fr,De,Es,It)",凯之传奇 十周年纪念版
"SiNG Party (USA) (En,Fr,Es,Pt)",歌唱派对
"Barbie Dreamhouse Party (USA) (En,Fr,Es)",芭比梦幻屋派对
"Family Party - 30 Great Games - Obstacle Arcade (USA) (En,Fr,Es)",家庭聚会 - 30大游戏障碍街机
"FIFA Soccer 13 (USA) (En,Fr,Es)",FIFA世界足球 13
"Just Dance Kids 2014 (USA) (En,Fr,Es)",舞力全开 儿童 2014
