Name EN,Name ZH
Hurricanes (Europe),飓风队(欧版)
Hyokkori Hyoutan-jima - Hyoutan-jima no Daikoukai (Japan),瓢箪島(日版)
Hyper Pro Yakyuu '92 (Japan),超职业野球92(日版)
In the Wake of Vampire (Japan) (En),吸血鬼-黑暗魔王(日版)(英)
"Incredible Crash Dummies, The (World)",铁人狂奔(世界)
"Incredible Hulk, The (USA, Europe)","铁人狂奔(美版,欧版)"
"Indiana Jones and the Last Crusade (USA, Europe, Brazil) (En)","圣战奇兵(美版,欧版,巴西)(英)"
Iron Man X-O Manowar in Heavy Metal (USA),铁人XO-重金属之战(美版)
"Itchy & Scratchy Game, The (USA, Europe)","猫鼠大战(美版,欧版)"
J.League GG Pro-Striker '94 (Japan),J联盟足球94(日版)
J.League Soccer - Dream Eleven (Japan),J联盟足球-梦幻十一人(日版)
James Bond 007 - The Duel (Europe),詹姆士邦得007-决斗(欧版)
James Pond 3 - Operation Starfi5h (Europe),詹姆斯庞德3-活动海星(欧版)
James Pond II - Codename RoboCod (Europe),詹姆斯庞德2-代号罗伯得(欧版)
James Pond II - Codename RoboCod (USA),詹姆斯庞德2-代号罗伯得(美版)
Jeopardy! (USA),美国名人智力竞答(美版)
Jeopardy! - Sports Edition (USA),美国名人智力竞答-体育篇(美版)
"Joe Montana Football (Japan, Brazil) (En) (Rev 1)","约翰麦登橄榄球(日版,巴西)(英)(版本1)"
"Joe Montana Football (USA, Europe)","约翰麦登橄榄球(美版,欧版)"
"Journey from Darkness - Strider Returns (USA, Europe)","黑暗之旅-斯特莱德归来(美版,欧版)"
"Judge Dredd (USA, Europe)","特警判官(美版,欧版)"
Junction (Japan) (En),引导球(日版)(英)
Junction (USA),引导球(美版)
"Jungle Book, The (Europe)",森林好小子(欧版)
"Jungle Book, The (USA)",森林好小子(美版)
Jungle Strike (USA),丛林突击(美版)
Jurassic Park (Japan),侏罗纪公园(日版)
"Jurassic Park (USA, Europe, Brazil) (En)","侏罗纪公园(美版,欧版,巴西)(英)"
"KLAX (USA, Europe)","克力斯方块(美版,欧版)"
Kaitou Saint Tail (Japan),怪盗圣少女(日版)
Kawasaki Superbike Challenge (Europe),川崎超级机车赛(欧版)
Kawasaki Superbike Challenge (USA),川崎超级机车赛(美版)
Kenyuu Densetsu Yaiba (Japan),剑勇传说(日版)
Kick & Rush (Japan),世界杯足球(日版)
Kinetic Connection (Japan),动态拼图(日版)
Kishin Douji Zenki (Japan),鬼神童子(日版)
"Krusty's Fun House (USA, Europe)","克鲁斯蒂的欢乐屋(美版,欧版)"
Kuni-chan no Game Tengoku (Japan),库尼游戏天国(日版)
Kuni-chan no Game Tengoku Part 2 (Japan),库尼游戏天国2(日版)
