No.,EN Name,CN Name
0190,"Powerpuff Girls, The - Mojo Jojo A-Go-Go (USA) (En,Fr,De,Es,It,Nl)","喷气女孩-魔女啾啾Go-Go (美版) (En,Fr,De,Es,It,Nl)"
0191,Madden NFL 2002 (USA),马顿橄榄球2002 (美版)
0192,"Frogger's Adventures - Temple of the Frog (USA) (En,Fr,De,Es,It)","青蛙冒险-蛙之殿堂 (美版) (En,Fr,De,Es,It)"
0193,"No Rules - Get Phat (USA, Europe) (En,Fr,De,Es,It,Nl)","无规则-街头滑板小子 (美版, 欧版) (En,Fr,De,Es,It,Nl)"
0194,Adventure of Tokyo Disney Sea (Japan),东京迪斯尼大进击-海洋馆篇 (日版)
0195,"David Beckham Soccer (Europe) (En,Fr,De,Es,It)","大卫·贝克汗姆足球 (欧版) (En,Fr,De,Es,It)"
0196,"Tetris Worlds (Europe) (En,Fr,De,Nl)","俄罗斯方块 (欧版) (En,Fr,De,Nl)"
0197,"Rampage - Puzzle Attack (USA, Europe)","毁灭金刚方块 (美版, 欧版)"
0198,"Midway's Greatest Arcade Hits (USA, Europe)","米德威精品电玩4合一 (美版, 欧版)"
0199,Jurassic Park III - Island Attack (USA),侏罗纪公园3高级行动-岛屿的进攻 (美版)
0200,Super Dodge Ball Advance (Europe),超级躲避球A (欧版)
0201,"LEGO Racers 2 (USA) (En,Fr)","乐高赛车手2 (美版) (En,Fr)"
0202,ESPN Great Outdoor Games - Bass 2002 (USA),ESPN非常户外运动巴斯钓鱼2002 (美版)
0203,"Ecks vs Sever (USA) (En,Fr,De,Es,It)","艾克斯VS瑟娃 (美版) (En,Fr,De,Es,It)"
0204,Hot Wheels - Burnin' Rubber (USA),无敌风火轮赛车 (美版)
0205,"Mech Platoon (Europe) (En,Fr,De,Es,It)","机械化部队 (欧版) (En,Fr,De,Es,It)"
0206,"Phalanx (Europe) (En,Fr,De,Es,It,Nl)","银河战机 (欧版) (En,Fr,De,Es,It,Nl)"
0207,E.T. - The Extra-Terrestrial (USA),外星人之陆地之外 (美版)
0208,Dave Mirra Freestyle BMX 2 (USA),黛夫·米亚自由式自行车越野赛2 (美版)
0209,"Shaun Palmer's Pro Snowboarder (USA, Europe)","夏恩·派蒙的职业滑雪板 (美版, 欧版)"
0210,Power Rangers - Time Force (Germany),鸟人战队-时空大作战 (德版)
0211,Sangokushi (Japan),三国志 (日版)
0212,"Planet of the Apes (Europe) (En,Fr,De,Es,It,Nl)","决战猩球 (欧版) (En,Fr,De,Es,It,Nl)"
0213,"Robot Wars - Advanced Destruction (Europe) (En,Fr,De,Es,It)","机器人大战-进化毁灭 (欧版) (En,Fr,De,Es,It)"
0214,"Cruis'n Velocity (USA, Europe)","劲速狂飙车 (美版, 欧版)"
0215,"Tom and Jerry - The Magic Ring (USA) (En,Fr,De,Es,It)","汤姆和杰瑞-魔法铃铛 (美版) (En,Fr,De,Es,It)"
0216,Monster Rancher Advance (USA),怪兽农场A (美版)
0217,International Karate Advanced (Europe),国际空手道大赛 (欧版)
0218,Daisenryaku for Game Boy Advance (Japan),大战略 (日版)
0219,Gradius Galaxies (USA),沙罗曼蛇之星系战争 (美版)
0220,EZ-Talk - Shokyuu Hen 1 (Japan),简单说英语1 (日版)
0221,EZ-Talk - Shokyuu Hen 2 (Japan),简单说英语2 (日版)
0222,"Army Men - Operation Green (USA) (En,Fr,De,Es,It)","玩具军人-绿色军事行动 (美版) (En,Fr,De,Es,It)"
0223,"Driven (USA) (En,Fr,De,Es,It)","生死极速车 (美版) (En,Fr,De,Es,It)"
0224,"Mat Hoffman's Pro BMX (Europe) (Fr,De)","马特·霍夫曼-自行车越野赛 (欧版) (Fr,De)"
0225,"Super Bust-A-Move (USA) (En,Fr,Es)","超级泡泡龙 (美版) (En,Fr,Es)"
0226,Columns Crown (Europe),宝石方块 (欧版)
0227,"Aventures de Jackie Chan, Les - La Legende de la Main Noire (France)",成龙冒险-黑手党传说 (法版)
0228,Magical Vacation (Japan),魔法假期 (日版)
0229,Advance Rally (Japan) (En),高级汽车拉力赛 (日版) (En)
0230,Gakkou o Tsukurou!! Advance (Japan),学校传说 (日版)
0231,Monster Farm Advance (Japan),怪兽农场A (日版)
0232,Thunderbirds - International Rescue (Europe),雷鸟-国际救援组织 (欧版)
0233,Shaun Palmer's Pro Snowboarder (Germany),夏恩·派蒙的职业滑雪板 (德版)
0234,World Advance Soccer - Shouri e no Michi (Japan),世界足球-迈向胜利之路 (日版)
0235,Namco Museum (Japan) (En),南梦宫精品游戏合集 (日版) (En)
0236,"Planet Monsters (USA) (En,Fr,De,Es,It,Nl)","星球怪物 (美版) (En,Fr,De,Es,It,Nl)"
0237,Super Mario Advance 2 - Super Mario World + Mario Brothers (Japan),超级马里奥A2 (日版)
0238,Battle Network Rockman EXE 2 (Japan),洛克人网络大战EXE2 (日版)
0239,Breath of Fire (USA),龙战士 (美版)
0240,Columns Crown (Japan),宝石方块 (日版)
0241,Mortal Kombat Advance (USA),真人快打A (美版)
