Name EN,Name CN
Policenauts (Japan) (Disc 1),宇宙骑警
Policenauts (Japan) (Disc 2),宇宙骑警
"Pebble Beach Golf Links (USA, Korea)",圆石滩滨海高尔夫球场
Jikki Pachi-Slot Simulator Vol. 1 (Japan),JikkiPachi插槽模拟器
Soccer Kid (USA),足球小子
Virtual Quest - Pharaoh no Fuuin (Japan),法老的封印
Emit Vol. 1 - Toki no Maigo (Japan),Emit卷1 - 时の迷子
Emit Vol. 2 - Inochigake no Tabi (Japan),Emit卷2 - 命がけの旅
Jurassic Park Interactive (Japan),侏罗纪公园
Flopon World (Japan),怪物世界消方块
Virtuoso (Japan),神枪手
"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 1)",宇宙冒险家 - 遇难船的外星人
"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 2)",宇宙冒险家 - 遇难船的外星人
"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 3)",宇宙冒险家 - 遇难船的外星人
"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 4)",宇宙冒险家 - 遇难船的外星人
Ishida Yoshio Kudan no Igo Seiha (Japan),石田芳夫九段之围棋制霸
Paddock Note '95 (Japan),围场注释'95
Secre Fuumin no Omochabako (Japan),性生活的玩具箱
Theatre Wars - Goraku no Dendou (Japan),娱乐的殿堂
Yu Yu Hakusho (Japan),幽游白书
Crayon Shin-chan - Puzzle Daimaou no Nazo (Japan),蜡笔小新 - 谜题大魔王之谜
Burning Soldier (Japan),燃烧的士兵
Fire Ball!! (Japan) (Rev 1),火球
Off-World Interceptor (Japan),外星战车
Gakkou no Kowai Uwasa - Hanako-san ga Kita!! (Japan),学校里的恐怖传言 - 花子来了
"Fun 'n Games - Soft no Omochabako (Japan) (En,Ja)",趣味游戏 - 软玩具箱
Grimm Meisaku Gekijou Vol. 2 - Hansel to Gretel (Japan),格林名著剧场2
Grimm Meisaku Gekijou Vol. 3 - Akazukin (Japan),格林名著剧场3
Nontan to Issho - Hoshi no Okurimono (Japan),诺坦的挑战 - 星之赠礼
PaTaank (Japan),装甲元帅
SHADOW Warriors (Japan),暗影战士
WorldCup Super Stadium (Japan),世界杯 - 超级运动场
Mirai Shounen Conan - Digital Library (Japan),未来少年柯南 - 数字图书馆
Yamada Kamachi Bijutsukan - Kamachi's Museum (Japan),山田镰町美术馆
Twisted (Japan),扭曲
Sesame Street - Numbers (Japan),芝麻街
Shanghai - Banri no Choujou - The Great Wall (Japan) (Rev 1),上海 - 万里长城
Diving Spot Guide - Marine Tour (Japan),潜水点导游 - 海上旅游
"Fatty Bear's Birthday Surprise (Japan) (En,Ja)",胖熊的生日惊喜
"Ballz - The Director's Cut (World) (En,Ja)",BallZ导演剪辑版
Stellar 7 - Draxon's Revenge (Japan),星式七号 - 德拉克森的逆袭
Microcosm (Japan),缩影
"Hirata Shougo Interactive Ehon - Aesop Monogatari Vol. 1 (Japan) (En,Ja,Fr)",平田昭吾互动绘本 - 伊索寓言物语
"Hirata Shougo Interactive Ehon - Cinderella (Japan) (En,Ja,Fr)",平田昭吾互动绘本 - 灰姑娘
Keiba Saishou no Housoku (Japan),競馬最勝的法則
"Murphy da yo Zen'in Shuugou!! (Japan) (En,Ja)",全员集合！
Paddock Note '95 (Japan) (Rev 1),围场注释'95
Belzerion (Japan),凡尔赛里昂
Goal FH (Field Hunter) (Japan),野战猎人
Mahjong Gokuu Tenjiku (Japan),麻雀悟空 - 天竺
"Tower, The (Japan)",高楼
Princess Maker 2 (Japan),美少女梦工厂2
Sotsugyou - Graduation - Final (Japan),卒業 - FINAL
"Flashback (Japan) (En,Ja,Fr,De,It,Nl)",回到过去
Outer World (Japan),逃离异世界
Tetsujin (Japan),铁人
Perfect World - Combat in a Digital World (Japan),完美世界
Uchuu Seibutsu Flopon-kun (Japan),宇宙生物 - 浮若风君
Bakushou!! All Yoshimoto Quiz-ou Kettei-sen (Japan),爆笑!吉本 - 答题王决定战
Yuujou Densetsu - The Doraemons (Japan),友情传说 - 哆啦A梦
Idol Janshi Suchie-Pai Special (Japan),偶像雀士特别篇
Idol Mahjong - Final Romance 2 - Hyper Edition (Japan),麻将罗曼史2
Oyaji Hunter Mahjong (Japan),爆烈猎人 - 麻将
Super Real Mahjong PIV + Aishou Shindan (Japan),超真实麻将PIV+相性诊所
Syndicate (Japan),暴力辛迪加
Scramble Cobra (Japan),眼镜蛇紧急起飞
Captain Quazar (Japan),Q上尉
Tozasareta Yakata (Japan),闭馆
Puppet Tale (Japan),木偶故事
BFS - Blue Forest Story (Japan),蓝森林物语 - 风之封印
"Kingdom - The Far Reaches (USA, Europe)",王国 - 遥远
