Name EN,Name ZH
Gungriffon - The Eurasian Conflict (Japan),武装雄狮 - 欧亚冲突
Tokimeki Memorial Selection - Fujisaki Shiori (Japan),
Slayers Royal (Japan),魔剑美神
"Sentimental Graffiti (Japan) (Disc 1) (Game Disc) (1M, 2MB2)",青涩宝贝
Sentimental Graffiti (Japan) (Disc 2) (Second Window) (4M),青涩宝贝
Shin Seiki Evangelion (Japan),新世纪福音战士
Shin Seiki Evangelion - 2nd Impression (Japan) (Made in Japan),新世纪福音战士 - 第二次印象
"Casper (Europe) (En,Fr,De)",鬼马小精灵
Choro Q Park (Japan),Q版赛车公园
Kouryuu Sangoku Engi (Japan),皇龙三国演义
Sotsugyou Crossworld (Japan),卒业 - 世界旅行
Shining Force III (Europe) (R),光明力量 3
Wachenroeder (Japan),钢铁世纪
Sega Ages - Space Harrier (Japan),世嘉时代 - 太空哈利
Sonic R (Japan) (1M),索尼克 R
Sonic Jam (Japan),索尼克 JAM
Shining Force III - Scenario 3 - Hyouheki no Jashinguu (Japan),光明力量 3 剧本 3 - 冰壁邪神宫
Shining Force III - Scenario 2 - Nerawareta Miko (Japan) (Rev A),光明力量 3 剧本 2 - 被狙击的神子
Shining Force III - Scenario 1 - Outo no Kyoshin (Japan) (Rev A),光明力量 3 剧本 1 - 王都的巨神
Sega Rally Championship Plus (Japan),世嘉拉力 Plus
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 3) (Rev A) (12M)",樱花大战 2 - 愿君平安
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 2) (Rev A) (10M, 11M)",樱花大战 2 - 愿君平安
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 1) (Rev A)",樱花大战 2 - 愿君平安
Sega Ages - Power Drift (Japan),力量漂移
Sega Ages - Phantasy Star Collection (Japan),世嘉时代 - 梦幻之星合集
Sega Ages - OutRun (Japan),世嘉时代 - OUTRUN
Sega Ages - Memorial Selection Vol. 2 (Japan),世嘉时代 - 经典纪念合集 2
Magical Drop 2 (Japan),魔法彩球 2
Sega Ages - I Love Mickey Mouse - Fushigi no Oshiro Daibouken & I Love Donald Duck - Georgia Ou no Hihou (Japan),世嘉时代 - 米老鼠之幻影城大冒险 & 唐老鸭之幸运大冒险
Sakura Taisen - Hanagumi Taisen Columns (Japan) (1M),樱花大战 - 花组对战方块
Sega Ages - Fantasy Zone (Japan),世嘉时代 - 幻想地带
Dynamite Deka (Japan),快打刑事
Dragon Force II - Kami Sarishi Daichi ni (Japan),龙之力量 2 - 神去的大地
Deep Fear (Japan) (Disc 2),深海恐惧
Deep Fear (Japan) (Disc 1),深海恐惧
Sega Ages - Columns Arcade Collection (Japan),魔法宝石合集 1
Burning Rangers (Japan),救火奇兵
Doom (Europe) (R),毁灭战士
Puzzle Bobble 3 (Japan) (2M),泡泡通 2
"Puzzle Bobble 2X (Japan) (2M1, 2MB1)",泡泡龙 2X
Darius Gaiden (Japan) (3M),太空战斗机外传
Cleopatra Fortune (Japan),埃及女王的财宝
Layer Section (Japan) (3M),雷亚战机
