Name EN,Name ZH
Jet Grind Radio (USA),街头涂鸦
Record of Lodoss War (Europe),罗德岛战记
"Chicken Run (Europe) (Fr,De,Es,It)",小鸡快跑
"House of the Dead 2, The (Japan)",死亡之屋 2
Ikaruga (Japan),斑鸠
NBA Showtime - NBA on NBC (Europe),美国职业篮球联赛个人秀 - NBC电视台
Broadband Passport (Japan),
Virtua Cop 2 (Japan),VR警察 2
Tomb Raider - Die Chronik (Germany),古墓丽影 - 历代记
Snow Surfers (Europe),滑雪运动
"Wetrix+ (Europe) (En,Fr,De)",水滴对对碰 +
Draconus - Cult of the Wyrm (USA),神教游击队 - 巨龙崇拜
Mr. Driller (USA),钻地先生
"Grinch, The (USA) (En,Fr,Es)",鬼灵精
Gundam Side Story 0079 - Rise from the Ashes (USA),高达外传 0079 - 灰烬中崛起
"Fur Fighters (USA) (En,Fr,De,Es)",毛皮斗士
"Unreal Tournament (USA) (En,Fr,De,Es,It)",虚幻竞技场
WWF Royal Rumble (Europe),WWF皇家摔跤
"Ducati World (Europe) (En,Fr,De,It)",杜卡迪摩托世界
"Speed Devils (Europe) (En,Fr,De,Es,It)",狂飙魔鬼
"Dreamon Volume 22 (Europe) (En,Fr,De,Es)",
Get Bass (Japan),巴斯钓鱼
Hello Kitty no Garden Panic (Japan),凯蒂猫的花园恐慌
4 Wheel Thunder (USA),四轮车迅雷越野赛
Power Stone (USA),能量宝石
Surf Rocket Racers (USA),水上摩托车大赛
"AeroWings (Europe) (En,Fr,De)",蓝天勇者
"Racing Simulation - Monaco Grand Prix (Europe) (En,Fr,De,Es,It)",模拟赛车 2 - 摩纳哥大奖赛
BikkuriMan 2000 - Viva! Festiva! (Japan),仙魔大战 2000 - 节日庆典
"V-Rally 2 - Expert Edition (Europe) (En,Fr,De)",V拉力赛车 2 - 穿越生死线
"4 Wheel Thunder (Europe) (En,Fr)",四轮车迅雷越野赛
Fighting Force 2 (Germany),格斗力量 2
Plasma Sword - Nightmare of Bilstein (Europe),星际斗士 - 比尔斯坦的噩梦
Tee Off (Europe),高尔夫大进击
"Mr. Driller (Europe) (En,Fr,De,Es,It)",钻地先生
"ESPN International Track & Field (Europe) (En,Fr,De)",ESPN夏季运动会
"Spec Ops II - Omega Squad (Europe) (En,Fr,De,Es,It)",特种部队 2 - 欧米枷小队
Evolution - The World of Sacred Device (Europe),进化 - 神机世界
"F1 Racing Championship (Europe) (En,Fr,De,Es,It)",F1赛车锦标赛
Tom Clancy's Rainbow Six - Rogue Spear + Mission Pack - Urban Operations (Germany),彩虹六号雷霆战警资料片 - 特警迷城
"Ecco the Dolphin - Defender of the Future (Europe) (En,Fr,De,Es)",海豚 - 未来捍卫者
"Deadly Skies (Europe) (En,Fr,De,Es,It)",致命的天空
"Grand Theft Auto 2 (Europe) (En,Fr,De,Es,It)",侠盗猎车手 2
Tony Hawk's Pro Skater 2 (Germany),托尼霍克职业滑板 2
Power Stone (Europe),能量宝石
"Millennium Soldier - Expendable (Europe) (En,Fr,De,Es,It)",生体兵器 - 敢死队
"Shenmue (Europe) (En,Fr,De,Es) (Disc 2)",莎木
"Shenmue (Europe) (En,Fr,De,Es) (Disc 3)",莎木
Simple 2000 Series DC Vol. 01 - Bittersweet Fools - The Ren'ai Adventure (Japan),简单2000系列 1 - 喜忧参半的傻瓜
Ultimate Fighting Championship (Japan),终极格斗冠军赛
"Dragons Blood (Europe) (En,Fr,De)",龙之血
"Skies of Arcadia (Europe) (En,Fr,De,Es) (Disc 1)",永恒的阿卡迪亚
"Shenmue (Europe) (En,Fr,De,Es) (Shenmue Passport)",莎木
AirForce Delta (USA),空中力量
Bangai-O (USA),暴烈无敌
Bust-A-Move 4 (USA),泡泡龙 4
Chicken Run (USA),小鸡快跑
Dave Mirra Freestyle BMX (USA),BMX特技自行车
