Name EN,Name CN
"Phantasy Star Online Episode I & II Plus (Japan) (En,Ja,Fr,De,Es) (Rev 5)",梦幻之星在线 - 一章&二章 - 进化
Game Boy Player Start-Up Disc (Japan) (Rev 3),
Luigi Mansion (Japan),路易吉洋馆
Wave Race - Blue Storm (Japan),水上摩托 - 蓝色风暴
Star Fox Adventures (Japan),星际火狐大冒险
Ikaruga (USA),斑鸠
"Metal Gear Solid - The Twin Snakes (Europe) (En,Fr,De,Es,It) (Disc 1)",合金装备 - 孪蛇
"Metal Gear Solid - The Twin Snakes (Europe) (En,Fr,De,Es,It) (Disc 2)",合金装备 - 孪蛇
Eternal Darkness - Manekareta 13-nin (Japan),永恒的黑暗 - 理智的安魂曲
"Dairantou Smash Brothers DX (Japan) (En,Ja) (Rev 2)",任天堂明星大乱斗DX
Zelda no Densetsu - Kaze no Takt (Japan),塞尔达传说 - 风之杖
Viewtiful Joe (USA),红侠乔伊
X-Men Legends (USA),X战警 - 传奇
Zelda no Densetsu - Toki no Ocarina GC (Japan),塞尔达传说 - 时之笛 - 里
Metroid Prime (Japan),密特罗德 - 究极
Giftpia (Japan),游戏天国
"Fire Emblem - Path of Radiance (Europe) (En,Fr,De,Es,It)",火焰之纹章 - 苍炎之轨迹
"Star Fox Adventures (Europe) (En,Fr,De,Es,It) (Rev 1)",星际火狐大冒险
"Sims, The (Europe) (En,Fr,De,Es,It)",模拟人生
"Digimon Rumble Arena 2 (Europe) (En,Fr,De,Es)",数码兽竞技场2
"Mario Party 4 (Europe) (En,Fr,De,Es,It) (Rev 2)",马力欧派对4
"Smuggler's Run - Warzones (Europe) (En,Fr,De,It)",走私犯的运行战区
"Samurai Jack - The Shadow of Aku (Europe) (En,Fr,De,Es,It)",武士杰克 - 阿酷的影子
"Pro Rally 2002 (Europe) (En,Fr,De,Es,It)",职业拉力2002
F-Zero GX (Japan),未来赛车GX
Mario Kart - Double Dash!! (Japan),马力欧卡丁车 - 双重冲击
Kirby's Airride (Japan),卡比的飞天赛车
Wario World (Japan),坏俐欧世界
Paper Mario RPG (Japan),马里奥RPG
Kururin Squash! (Japan),转转鸟 - 猛击！
Donkey Kong Jungle Beat (Japan),森喜刚 - 丛林节拍
Totsugeki!! Famicom Wars (Japan),突击 - FC大战
Zelda no Densetsu - 4-tsu no Tsurugi+ (Japan),塞尔达传说 - 四人之剑+
