Name EN,Name CN
Tokimeki Memorial (Japan) (Rev 2) (FABT),心跳回忆
Seiryuu Densetsu - Monbit (Japan) (Rev 1),圣龙传说
Seiryuu Densetsu - Monbit (Japan) (Rev 4),圣龙传说
Madou Monogatari I - Honoo no Sotsuenji (Japan),魔导物语 - 炎之卒园儿
F1 Circus Special - Pole to Win (Japan) (FABT),F1竞技场 特别版
J. B. Harold Series 1 - Murder Club (Japan),刑事J.B.哈罗德 - 杀人俱乐部
Dragon Half (Japan),半龙少女
Uchuu Senkan Yamato (Japan),宇宙战舰大和号
Might and Magic III - Isles of Terra (Japan),魔法门 3 - 幻岛历险记
Mirai Shounen Conan (Japan),未来少年柯南
Final Zone II (Japan),最终战区 2
Pachio-kun 3 - Pachi-Slot & Pachinko (Japan),柏青哥君 3
YaWaRa! 2 - A Fashionable Judo Girl! (Japan),以柔克刚 2 - 时尚柔道女孩
Laplace no Ma (Japan),拉普拉斯之魔
Shin Megami Tensei (Japan) (Rev 1),真女神转生
Dekoboko Densetsu - Hashiru Wagamanmaa (Japan),人偶传说 - 任性地奔跑
Rally Championship (Japan) (FABT),拉力锦标赛
KO Seiki Beast Sanjuushi - Gaia Fukkatsu - Kanketsu-hen (Japan),KO世纪野兽士 - 盖亚复活 完结篇
Private Eye dol (Japan),私家侦探
Tecmo World Cup Super Soccer (Japan),Tecmo 超级世界杯
Shinsetsu Shiawase Usagi 2 - Kairaku e no Invitation (Japan) (Unl),真说幸福兔 2 - 向快乐的邀请
Startling Odyssey (Japan),惊心动魄的奥德赛
Startling Odyssey II - Maryuu Sensou (Japan) (Demo),惊心动魄的奥德赛 2 - 魔龙战争
Kaze no Densetsu Xanadu (Japan) (Demo),风之传说
Iga Ninden Gaiou (Japan),伊贺忍伝凯王
Metal Angel (Japan),合金天使
Adventure Quiz - Capcom World + Hatena no Daibouken (Japan),卡普空冒险问答
Nemurenu Yoru no Chiisana Ohanashi (Japan),不眠之夜的小故事
God Panic - Shijou Saikyou no Gundan (Japan),上帝的恐慌 - 史上最强军团
Horror Story (Japan),恐怖故事
Loom (Japan),织布机
Zan - Kagerou no Toki (Japan),斩 炎阳之时代
Mahjong Lemon Angel (Japan),麻将柠檬天使
Sexy Idol Mahjong - Fashion Monogatari (Japan),性感偶像麻将 - 时尚物语
Sexy Idol Mahjong - Yakyuuken no Uta (Japan),性感偶像麻将 - 野球拳之诗
Tokimeki Memorial (Japan) (Rev 3),心跳回忆
Jantei Monogatari 2 - Uchuu Tantei Diban - Kanketsu-hen (Japan),雀侦物语 2 - 宇宙侦探帝凡 完结篇
Jantei Monogatari (Japan),雀侦物语
Jantei Monogatari 3 - Saver Angels (Japan),雀侦物语 3 - 拯救天使
Super Real Mahjong Special - Miki Kasumi Shouko no Omoide yori (Japan),超真实麻将 特别篇
Super Real Mahjong PII-III Custom (Japan),超真实麻将 P2-3
Super Real Mahjong PIV Custom (Japan),超真实麻将 PIV
Super Real Mahjong P.V Custom (Japan),超真实麻将 P.V
Kiaidan 00 (Japan),机甲战士 00
Tengai Makyou - Deden no Den (Japan),天外魔境 - 炸弹传说
Kuusou Kagaku Sekai Gulliver Boy (Japan),空想科学世界
In Magical Adventure - Fray CD - Xak Gaiden (Japan),萨克外传
Godzilla Bakutou Retsuden (Japan),哥斯拉爆斗列传
Fiend Hunter (Japan),邪鬼猎人
Kisou Louga (Japan) (FABT),机装露加
Kisou Louga II - The Ends of Shangrila (Japan),机装露加 2
Gulclight TDF 2 (Japan),地球防卫军 2
Nobunaga no Yabou - Zenkokuban (Japan),信长之野望 - 战国兵法书
Sangokushi - Eiketsu Tenka ni Nozomu (Japan),三国志 - 英杰传
Yokoyama Mitsuteru Shin Sangokushi - Tenka wa Ware ni (Japan),横山光辉三国志 - 我的天下
3x3 Eyes - Sanjiyan Henjou (Japan),三只眼 - 三只眼变成
CD Mahjong - Bishoujo Chuushinha (Japan) (Unl),CD麻将 - 美少女中心派
AV Tanjou (Japan) (Unl),AV诞生
Cosmic Fantasy 4 - Ginga Shounen Densetsu - Totsunyuu-hen (Japan),宇宙幻想 4 - 银河少年传说 突入篇
Cosmic Fantasy 4 - Ginga Shounen Densetsu - Gekitou-hen (Japan),宇宙幻想 4 - 银河少年传说 激斗篇
Far East of Eden - Tengai Makyou - Fuun Kabuki-den (Japan) (Demo),天外魔境 - 风云歌舞伎传
Urusei Yatsura - Stay with You (Japan),福星小子 - 相伴与君
Hyper Wars (Japan) (SABS),世纪战争
Makai Eiyuuden - Shape Shifter (Japan),魔界英雄伝
Martial Champion (Japan),武术冠军
Nobunaga no Yabou - Bushou Fuuunroku (Japan),信长之野望 - 武将风云录
CD Pachi-Slot - Bishoujo Gambler (Japan) (Unl),CD柏青哥 - 美少女赌徒
Shin Onryou Senki (Japan),真怨灵战记
Emerald Dragon (Japan) (Demo),翡翠龙
Duo Comic - Bakuretsu Hunter (Japan),暴走猎人
Psychic Detective Series Vol. 4 - Orgel (Japan),通灵侦探系列第四卷 - 八音盒
Wonder Boy III - Monster Lair (Japan) (Rev 3),神奇男孩 3 - 魔窟
Farjius no Jakoutei - Neo Metal Fantasy (Japan),法斯安斯的邪皇帝
Farjius no Jakoutei - Neo Metal Fantasy (Japan) (Rev 1),法斯安斯的邪皇帝
Color Wars (Japan),色彩战争
Bakuden - Unbalance Zone (Japan),爆传 - 不平衡地区
Go! Go! Birdie Chance (Japan),Go! Go! 高尔夫
Rayxanber III (Japan),重装雷克斯 3
Nekketsu Legend - Baseballer (Japan),热血传说 - 棒球运动员
Kawa no Nushitsuri - Shizen-ha (Japan),川钓高手 - 自然派
Yuu Yuu Hakusho - Yami Shoubu!! Ankoku Bujutsu-kai (Japan),幽游白书 - 暗黑武术会
Legion (Japan) (Rev 4),空中军团
Brandish (Japan),魔女逗勇者
Solid Force (Japan),固体力量
Last Armageddon (Japan) (Rev 5),女超人蕾拉
Mahjong on the Beach (Japan),沙滩麻将
