Name EN,Name CN
Air Fortress (Europe),空中要塞
Air Fortress (Japan) (En),空中要塞
Air Fortress (USA),空中要塞
Airball (USA) (Proto 1) (Unl),气球
Airball (USA) (Proto 2) (Unl),气球
Airwolf (Europe) (Acclaim),飞狼
Airwolf (Japan) (Kyugo),飞狼
Airwolf (USA) (Acclaim),飞狼
Akagawa Jirou no Yuurei Ressha (Japan),赤川次郎之幽灵列车
Akira (Japan),阿基拉
Akuma no Shoutaijou (Japan),恶魔招待状
Akuma-kun - Makai no Wana (Japan),恶魔君 - 魔界的圈套
Akumajou Densetsu (Japan),恶魔城 3 - 德古拉的诅咒
Akumajou Dracula (Japan) (En),恶魔城
Akumajou Special - Boku Dracula-kun (Japan),恶魔城外传 - 少年德古拉
Al Unser Jr. Turbo Racing (USA),涡轮大赛车
Aladdin (Europe),阿拉丁
Alfred Chicken (Europe),神鸡艾烈佛
Alfred Chicken (USA),神鸡艾烈佛
Alien 3 (Europe),异形 3
Alien 3 (USA),异形 3
Alien Syndrome (Japan) (En),异形特攻队
Alien Syndrome (USA) (Unl),异形特攻队
All-Pro Basketball (USA),全美职业篮球赛
Alpha Mission (Europe),阿尔法任务 - 装甲争夺战
Alpha Mission (USA),阿尔法任务 - 装甲争夺战
Amagon (USA),荒岛落难记
America Daitouryou Senkyo (Japan),美国总统大选
America Oudan Ultra Quiz - Shijou Saidai no Tatakai (Japan),美国横断问答 - 史上最大之争战
American Dream (Japan),美国之梦
American Gladiators (USA),美国斗士
Ankoku Shinwa - Yamato Takeru Densetsu (Japan),暗黑神话
Anticipation (Europe),机智问答
Anticipation (USA),机智问答
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),苍狼与白鹿 - 元朝秘史
Aoki Ookami to Shiroki Mejika - Genghis Khan (Japan),苍狼与白鹿 - 成吉思汗
Arabian Dream Scheherazade (Japan),阿拉伯之梦
Arch Rivals - A Basketbrawl! (Europe),劲敌 - 篮球大战
Arch Rivals - A Basketbrawl! (USA),劲敌 - 篮球大战
Archon (USA),巫术对奕
Arctic (Japan) (En),北极星
Argos no Senshi - Hachamecha Daishingeki (Japan),未来战士
Argus (Japan) (En),百眼巨神
Arkanoid (Japan) (En),打砖块
Arkanoid (USA),打砖块
Arkanoid II (Japan) (En),打砖块 2
Arkanoid II (Japan) (En) (Beta 2),打砖块 2
Arkista's Ring (USA),亚克斯塔的戒指
Armadillo (Japan),穿山甲小子
Artelius (Japan),亚特利斯号
Asmik-kun Land (Japan),阿斯米克君世界
ASO - Armored Scrum Object (Japan) (En),阿尔法任务 - 装甲争夺战
"Asterix (Europe) (En,Fr,De,Es,It)",美丽新世界
Astro Fang - Super Machine (Japan),冲锋飞车 - 超级装置
Astro Robo Sasa (Japan) (En),漂浮枪手
Astyanax (Europe),战王之王
Astyanax (USA),战王之王
Astyanax (USA) (Beta),战王之王
Athena (Japan) (En),雅典娜
Athena (USA),雅典娜
Athletic World (Europe),任天堂跳跳板 - 运动世界
Athletic World (USA),任天堂跳跳板 - 运动世界
Atlantis no Nazo (Japan) (En),亚特兰提斯之谜
Atlantis no Nazo (Japan) (En) (Beta),亚特兰提斯之谜
Attack Animal Gakuen (Japan) (En) (Famicom 3D System),动物学园
Attack of the Killer Tomatoes (Europe),蕃茄杀手
Attack of the Killer Tomatoes (USA),蕃茄杀手
Aussie Rules Footy (Australia),澳洲制式足球
Auto-Upturn (Asia) (En) (Unl),自转拼图
AV Hanafuda Club (Japan) (Unl),AV花札俱乐部
AV Kyuukyoku Mahjong 2 (Taiwan) (Ka Sheng) (Unl),AV究极麻将 2
AV Mahjong Club (Taiwan) (Ja) (Unl),AV麻雀俱乐部
AV Mahjong Club (Japan) (v1.1) (Unl),AV麻雀俱乐部
AV Pachi-Slot - Big Chance (Japan) (Rev 1) (Unl),
AV Poker (Japan) (Rev 1) (Unl),AV美女扑克牌
AV Soccer (Japan) (En) (Unl),AV足球
B-Wings (Japan) (En),B计划
Babel no Tou (Japan) (En),巴比伦塔
Baby Boomer (USA) (Unl),暴走炸弹
Back to the Future (USA),回到未来
Back to the Future Part II & III (USA),回到未来2 + 3
Bad Dudes (USA),龙之忍者
Bad Dudes vs. Dragon Ninja (Europe),龙之忍者
Bad News Baseball (USA),坏消息棒球
Bad Street Brawler (USA),黑街斗争
Baken Hisshou Gaku - Gate In (Japan),马券必胜学
Bakushou! Star Monomane Shitennou (Japan),爆笑四天王
Bakushou!! Ai no Gekijou (Japan),爆笑爱之剧场
Bakushou!! Jinsei Gekijou (Japan),爆笑人生剧场
Bakushou!! Jinsei Gekijou 2 (Japan),爆笑人生剧场 2
Bakushou!! Jinsei Gekijou 3 (Japan),爆笑人生剧场 3
Ballblazer (Japan) (En),滚球大战
Balloon Fight (Europe),气球大战
Balloon Fight (Japan) (En),气球大战
Balloon Fight (USA),气球大战
"Balloon Monster (Europe, Asia) (En) (Mega Soft) (Unl)",
Baltron (Japan) (En),巴特隆战记
Banana (Japan) (En),香蕉大战
Banana Prince (Germany),香蕉王子大冒险
Bananan Ouji no Daibouken (Japan),香蕉王子大冒险
Bandai Golf - Challenge Pebble Beach (USA),万岱高尔夫 - 圆石滩球场邀请赛
Bandit Kings of Ancient China (USA),水浒传 - 天命之誓
Barbie (Europe),芭比娃娃
Barbie (USA),芭比娃娃
Barbie (USA) (Rev 1),芭比娃娃
Barcode World (Japan),条码世界
"Bard's Tale II, The - The Destiny Knight (Japan)",冰城传奇 2 - 命运骑士团
"Bard's Tale, The (Japan)",冰城传奇
"Bard's Tale, The (USA)",冰城传奇
Barker Bill's Trick Shooting (Europe),伯克比尔之戏法射击秀
Barker Bill's Trick Shooting (USA),伯克比尔之戏法射击秀
Baseball (Japan) (En),任天堂棒球
"Baseball (USA, Europe)",任天堂棒球
Baseball Fighter (Japan),棒球战士
Baseball Simulator 1.000 (USA),模拟棒球
Baseball Star - Mezase Sankanou!! (Japan),棒球之星 - 迈向三冠王
Baseball Stars (USA),棒球之星
Baseball Stars II (USA),棒球之星 2
Bases Loaded (USA),满垒王
Bases Loaded (USA) (Rev 1),满垒王
Bases Loaded (USA) (Rev 2),满垒王
Bases Loaded 3 (USA),满垒王 3
Bases Loaded 4 (USA),满垒王 4
Bases Loaded II - Second Season (USA),满垒王 2
Bashi Bazook - Morphoid Masher (USA) (Proto) (1989-05-29),生化战士 DAN
Batman (Japan) (En),蝙蝠侠
Batman - Return of the Joker (Europe),蝙蝠侠 2 - 小丑的复仇
Batman - Return of the Joker (USA),蝙蝠侠 2 - 小丑的复仇
Batman - The Video Game (Europe),蝙蝠侠
Batman - The Video Game (USA),蝙蝠侠
Batman - The Video Game (USA) (Beta 1),蝙蝠侠
Batman - The Video Game (USA) (Beta 2),蝙蝠侠
Batman Returns (Europe),蝙蝠侠 3 - 大显神威
Batman Returns (USA),蝙蝠侠 3 - 大显神威
Batsu & Terry - Makyou no Tetsujin Race (Japan) (En),魔境铁人
Battle Baseball (Japan),SD战斗棒球
Battle Chess (USA),决战西洋棋
Battle Fleet (Japan),海战舰队
Battle Formula (Japan) (En),战斗方程式赛车
"Battle of Olympus, The (Europe)",奥林帕斯之战
"Battle of Olympus, The (USA)",奥林帕斯之战
Battle Rush - Build Up Robot Tournament (Japan) (Datach),战斗机器人
Battle Stadium - Senbatsu Pro Yakyuu (Japan),战斗野球 - 职业野球选拔赛
Battle Storm (Japan),战斗风暴
BattleCity (Japan) (En),战斗城市
"Battleship (Europe) (En,Fr,De,Es)",海战风云
Battleship (USA),海战风云
Battletoads (Europe),忍者蛙
Battletoads (Japan),忍者蛙
Battletoads (USA),忍者蛙
Battletoads-Double Dragon (Europe),忍者蛙与双截龙
Battletoads-Double Dragon (USA),忍者蛙与双截龙
BB Car (Taiwan) (Unl),噗噗车
Be-Bop-Highschool - Koukousei Gokuraku Densetsu (Japan),高校生极乐传说
Beauty and the Beast (Europe),美女与野兽
Bee 52 (USA) (Unl),小蜜蜂 52
